Issuance Date/Time (Pacific),Valid Date/Time (Pacific),Stage (Feet),Flow (CFS),Trend,Threshold Exceedance Status,Observed/Forecast
04/01/2025 07:57 AM,04/03/2025 02 PM,12.51,6227,-,Normal,Forecast
04/01/2025 07:57 AM,04/03/2025 03 PM,12.45,6118,-,Normal,Forecast
04/01/2025 07:57 AM,04/03/2025 04 PM,12.40,6028,-,Normal,Forecast
04/01/2025 07:57 AM,04/03/2025 05 PM,12.36,5957,-,Normal,Forecast
04/01/2025 07:57 AM,04/03/2025 06 PM,12.33,5904,-,Normal,Forecast
04/01/2025 07:57 AM,04/03/2025 07 PM,12.28,5816,-,Normal,Forecast
04/01/2025 07:57 AM,04/03/2025 08 PM,12.23,5728,-,Normal,Forecast
04/01/2025 07:57 AM,04/03/2025 09 PM,12.19,5658,-,Normal,Forecast
04/01/2025 07:57 AM,04/03/2025 10 PM,12.14,5572,-,Normal,Forecast
04/01/2025 07:57 AM,04/03/2025 11 PM,12.09,5486,-,Normal,Forecast
04/01/2025 07:57 AM,04/04/2025 12 AM,12.05,5418,-,Normal,Forecast
04/01/2025 07:57 AM,04/04/2025 01 AM,12.01,5350,-,Normal,Forecast
04/01/2025 07:57 AM,04/04/2025 02 AM,11.97,5283,-,Normal,Forecast
04/01/2025 07:57 AM,04/04/2025 03 AM,11.92,5199,-,Normal,Forecast
04/01/2025 07:57 AM,04/04/2025 04 AM,11.88,5133,-,Normal,Forecast
04/01/2025 07:57 AM,04/04/2025 05 AM,11.85,5083,-,Normal,Forecast
04/01/2025 07:57 AM,04/04/2025 06 AM,11.81,5017,-,Normal,Forecast
04/01/2025 07:57 AM,04/04/2025 07 AM,11.77,4952,-,Normal,Forecast
04/01/2025 07:57 AM,04/04/2025 08 AM,11.73,4887,-,Normal,Forecast
04/01/2025 07:57 AM,04/04/2025 09 AM,11.69,4822,-,Normal,Forecast
04/01/2025 07:57 AM,04/04/2025 10 AM,11.66,4774,-,Normal,Forecast
04/01/2025 07:57 AM,04/04/2025 11 AM,11.62,4710,-,Normal,Forecast
04/01/2025 07:57 AM,04/04/2025 12 PM,11.59,4663,-,Normal,Forecast
04/01/2025 07:57 AM,04/04/2025 01 PM,11.55,4600,-,Normal,Forecast
04/01/2025 07:57 AM,04/04/2025 02 PM,11.53,4568,-,Normal,Forecast
04/01/2025 07:57 AM,04/04/2025 03 PM,11.49,4506,-,Normal,Forecast
04/01/2025 07:57 AM,04/04/2025 04 PM,11.47,4475,-,Normal,Forecast
